datetime,Direct Short Wave Radiation (W/m^2),Predicted (W),Actual(W),error(W)
04-01-20 20,0,45.438774,0,45.43877411
04-01-20 21,0,45.438847,0,45.43884659
04-01-20 22,0,45.438847,0,45.43884659
04-01-20 23,0,45.438774,0,45.43877411
05-01-20 00,0,45.438774,0,45.43877411
05-01-20 01,0,45.438774,0,45.43877411
05-01-20 02,0,45.438774,0,45.43877411
05-01-20 03,0,45.438774,0,45.43877411
05-01-20 04,0,45.438774,0,45.43877411
05-01-20 05,0,45.438774,0,45.43877411
05-01-20 06,0,45.438774,0,45.43877411
05-01-20 07,0,45.438774,0,45.43877411
05-01-20 08,0,45.438774,129.7710768,-84.33230273
05-01-20 09,0,452.57822,1583.722907,-1131.144691
05-01-20 10,19.619444,2064.538,2762.736213,-698.1981275
05-01-20 11,65.81589,2859.913,3106.422542,-246.5094565
05-01-20 12,109.09877,2867.0718,2906.318736,-39.24695875
05-01-20 13,150.08186,2371.283,2184.643285,186.6396741
05-01-20 14,155.01192,1343.5674,1471.427748,-127.8603653
05-01-20 15,128.71436,714.7761,422.4920009,292.2841222
05-01-20 16,81.07541,136.33414,0.001666761,136.3324702
05-01-20 17,21.9156,18.412014,0,18.41201401
05-01-20 18,0,70.10735,0,70.10735321
05-01-20 19,0,45.438774,0,45.43877411
05-01-20 20,0,45.438774,0,45.43877411
05-01-20 21,0,45.438774,0,45.43877411
05-01-20 22,0,45.438774,0,45.43877411
05-01-20 23,0,45.438774,0,45.43877411
06-01-20 00,0,45.438774,0,45.43877411
06-01-20 01,0,45.438774,0,45.43877411
06-01-20 02,0,45.438774,0,45.43877411
06-01-20 03,0,45.438774,0,45.43877411
06-01-20 04,0,45.438774,0,45.43877411
06-01-20 05,0,45.438847,0,45.43884659
06-01-20 06,0,45.438847,0,45.43884659
06-01-20 07,0,45.438774,0,45.43877411
06-01-20 08,0,45.438774,16.09174949,29.34702462
06-01-20 09,0,65.045044,90.50637112,-25.46132717
06-01-20 10,13.08178,240.10667,223.6199942,16.48668004
06-01-20 11,60.03058,384.01535,290.2046402,93.81071012
06-01-20 12,106.669075,413.71643,409.8847368,3.831693852
06-01-20 13,157.70087,625.7681,256.3134577,369.4546698
06-01-20 14,127.00422,141.2522,107.5519873,33.70020995
06-01-20 15,87.24703,77.59792,0,77.59792328
06-01-20 16,50.109642,28.198519,0,28.19851875
06-01-20 17,15.861491,59.128483,0,59.12848282
06-01-20 18,0,58.406204,0,58.40620422
06-01-20 19,0,45.438774,0,45.43877411
06-01-20 20,0,45.438774,0,45.43877411
06-01-20 21,0,45.438774,0,45.43877411
06-01-20 22,0,45.438774,0,45.43877411
06-01-20 23,0,45.438774,0,45.43877411
07-01-20 00,0,45.438774,0,45.43877411
07-01-20 01,0,45.438774,0,45.43877411
07-01-20 02,0,45.438774,0,45.43877411
07-01-20 03,0,45.438774,0,45.43877411
07-01-20 04,0,45.438774,0,45.43877411
07-01-20 05,0,45.438774,0,45.43877411
07-01-20 06,0,45.438774,0,45.43877411
07-01-20 07,0,45.438774,0.000729881,45.43804423
07-01-20 08,0,45.439686,83.36360329,-37.92391747
07-01-20 09,0,276.05,1407.406449,-1131.356462
07-01-20 10,26.16971,2072.4702,2693.202719,-620.7325042
07-01-20 11,84.76186,2824.8306,2958.625762,-133.7951958
07-01-20 12,130.55896,2599.5896,2755.689958,-156.1003587
07-01-20 13,154.28839,2156.3232,1525.692748,630.6304947
07-01-20 14,156.74063,824.90375,130.5591724,694.3445751
07-01-20 15,128.42581,92.22396,16.31455164,75.90940923
07-01-20 16,82.66974,45.639412,0,45.63941193
07-01-20 17,23.337736,51.39306,0,51.39305878
07-01-20 18,0,73.72448,0,73.72447968
07-01-20 19,0,45.438774,0,45.43877411
07-01-20 20,0,45.438774,0,45.43877411
07-01-20 21,0,45.438774,0,45.43877411
07-01-20 22,0,45.438774,0,45.43877411
07-01-20 23,0,45.438774,0,45.43877411
08-01-20 00,0,45.438774,0,45.43877411
08-01-20 01,0,45.438774,0,45.43877411
08-01-20 02,0,45.438774,0,45.43877411
08-01-20 03,0,45.438774,0,45.43877411
08-01-20 04,0,45.438774,0,45.43877411
08-01-20 05,0,45.438774,0,45.43877411
08-01-20 06,0,45.438774,0,45.43877411
08-01-20 07,0,45.438774,0,45.43877411
08-01-20 08,0,45.438774,313.2889858,-267.8502116
08-01-20 09,0,1093.1068,2238.739411,-1145.632599
08-01-20 10,27.57812,2281.932,1586.614052,695.3178331
08-01-20 11,87.226,1102.2,444.4252528,657.7746984
08-01-20 12,137.5881,387.11008,474.1494374,-87.03936053
08-01-20 13,163.94656,517.4862,191.2250261,326.2611799
08-01-20 14,115.0866,98.48457,64.78423518,33.70033819
08-01-20 15,68.2659,63.275215,4.234846942,59.04036821
08-01-20 16,23.070564,44.07784,0,44.0778389
08-01-20 17,10.492011,55.035683,0,55.03568268
08-01-20 18,0,53.690186,0,53.69018555
08-01-20 19,0,45.438774,0,45.43877411
08-01-20 20,0,45.438774,0,45.43877411
08-01-20 21,0,45.438847,0,45.43884659
08-01-20 22,0,45.438847,0,45.43884659
08-01-20 23,0,45.438774,0,45.43877411
09-01-20 00,0,45.438774,0,45.43877411
09-01-20 01,0,45.438774,0,45.43877411
09-01-20 02,0,45.438774,0,45.43877411
09-01-20 03,0,45.438774,0,45.43877411
09-01-20 04,0,45.438774,0,45.43877411
09-01-20 05,0,45.438774,0,45.43877411
09-01-20 06,0,45.438774,0,45.43877411
09-01-20 07,0,45.438774,0,45.43877411
09-01-20 08,0,45.438774,0,45.43877411
09-01-20 09,0,45.438774,0,45.43877411
09-01-20 10,16.832094,44.319065,62.13801413,-17.81894904
09-01-20 11,55.077515,132.46223,444.2224012,-311.7601667
09-01-20 12,96.94359,781.1575,499.9620982,281.1953725
09-01-20 13,119.54026,494.12805,153.7506651,340.3773867
09-01-20 14,122.76472,117.778915,144.4441053,-26.66518989
09-01-20 15,106.29113,116.30376,48.88799204,67.41576468
09-01-20 16,53.800667,58.897945,0,58.8979454
09-01-20 17,17.287731,45.260006,0,45.26000595
09-01-20 18,0,61.00205,0,61.00204849
09-01-20 19,0,45.438774,0,45.43877411
09-01-20 20,0,45.438774,0,45.43877411
09-01-20 21,0,45.438774,0,45.43877411
09-01-20 22,0,45.438774,0,45.43877411
09-01-20 23,0,45.438774,0,45.43877411
10-01-20 00,0,45.438774,0,45.43877411
10-01-20 01,0,45.438774,0,45.43877411
10-01-20 02,0,45.438774,0,45.43877411
10-01-20 03,0,45.438774,0,45.43877411
10-01-20 04,0,45.438774,0,45.43877411
