Time,variables1,variables2,variables3,variables4,variables5
02-02-18 16,115.45304,7.164629,15.2927526365554,6.1680664022954,89.1695837603928
02-02-18 17,73.31542,6.684629,0.546749932336364,4.95888694965751,0
02-02-18 18,13.946823,5.4946294,0.693427453098176,4.38306590660999,0
02-02-18 19,0,4.564629,0.432821497598826,3.24698402598227,0
02-02-18 20,0,3.6646292,0.687865238605296,2.54701043491403,0
02-02-18 21,0,2.4746292,0.544216542868134,2.72970971083154,0
02-02-18 22,0,1.5746293,0.547011064714411,2.20482078075794,0
02-02-18 23,0,0.9246293,0.508965216203469,1.94368168131269,0
03-02-18 00,0,0.42462924,0.466488223203519,2.07037433843811,0
03-02-18 01,0,-0.07537075,0.873759831672473,2.41873213656119,0
03-02-18 02,0,-0.37537077,0.749430258209804,2.56338328884223,0
03-02-18 03,0,-0.29537076,0.501531484758523,2.85414724843004,0
03-02-18 04,0,-0.02537075,0.0188091477832098,2.78628847773386,0
03-02-18 05,0,0.11462925,0.0627042839657,2.56301784793278,0
03-02-18 06,0,-0.015370751,0.0756504481488795,2.58573200324589,0
03-02-18 07,0,-0.14537075,0.849861741376074,2.97807460802417,0
03-02-18 08,0,-0.5353707,31.7013471081392,3.51340251947251,147.399670587136
03-02-18 09,6.481421,-0.34537077,75.342046170055,3.91071978554556,367.444195483508
